INFO  | ??:??:?? 5 [PowerFSM] Init the Battery Service
INFO  | ??:??:?? 5 [PowerFSM] Init the Mesh bluetooth service
INFO  | ??:??:?? 5 [PowerFSM] Set up the advertising payload(s)
INFO  | ??:??:?? 5 [PowerFSM] Advertise
DEBUG | ??:??:?? 5 [GPS] Trying $PMTK605*31 (MTK Family)...
INFO  | ??:??:?? 6 [GPS] BLE Connected to Tensor
DEBUG | ??:??:?? 6 [GPS] BluetoothStatus CONNECTED
INFO  | ??:??:?? 6 [GPS] BLE connection secured
DEBUG | ??:??:?? 6 [GPS] Module Info :
DEBUG | ??:??:?? 6 [GPS] Soft version: ROM CORE 3.01 (107888)
DEBUG | ??:??:?? 6 [GPS] Hard version: 00080000
DEBUG | ??:??:?? 6 [GPS] Extensions:4
DEBUG | ??:??:?? 6 [GPS]   FWVER=SPG 3.01
DEBUG | ??:??:?? 6 [GPS]   PROTVER=18.00
DEBUG | ??:??:?? 6 [GPS]   GPS;GLO;GAL;BDS
DEBUG | ??:??:?? 6 [GPS]   SBAS;IMES;QZSS
DEBUG | ??:??:?? 6 [GPS] Protocol Version:18.00
DEBUG | ??:??:?? 6 [GPS] ProtVer=18
INFO  | ??:??:?? 6 [GPS] U-blox 8 detected
INFO  | ??:??:?? 6 [GPS] CCCD Updated: 1
INFO  | ??:??:?? 6 [GPS] Notify/Indicate enabled
INFO  | ??:??:?? 6 [GPS] CCCD Updated: 1
INFO  | ??:??:?? 6 [GPS] Notify/Indicate enabled
INFO  | ??:??:?? 6 [GPS] toRadioWriteCb data 0x2002da82, len 7
DEBUG | ??:??:?? 6 [GPS] New ToRadio packet
DEBUG | ??:??:?? 6 [GPS] Got client heartbeat
INFO  | ??:??:?? 6 [GPS] GPS+SBAS+GLONASS+Galileo configured
INFO  | ??:??:?? 7 [GPS] toRadioWriteCb data 0x2002da82, len 4
DEBUG | ??:??:?? 7 [GPS] New ToRadio packet
INFO  | ??:??:?? 7 [GPS] Client wants config, nonce=69420
DEBUG | ??:??:?? 7 [GPS] Got zu files in manifest
INFO  | ??:??:?? 7 [GPS] Start API client config millis=7044
DEBUG | ??:??:?? 7 [GPS] FromRadio=STATE_SEND_QUEUE_STATUS, numbytes=6
DEBUG | ??:??:?? 7 [GPS] FromRadio=STATE_SEND_MY_INFO
